ID	Pri	Creat	d1	d2	irnum	id	state	times	add
1	1	5	0	0	29	1	3	1	16
						2	1	1	17
						3	3	1	18
						4	1	1	19
						5	3	1	20
						6	10	1	21
						7	1	1	22
						8	11	1	23
						9	5	1	24
						10	11	1	25
						11	2	1	26
						12	5	1	27
						13	3	1	28
						14	9	1	29
						15	8	1	30
						16	0	1	31
						17	5	1	32
						18	4	1	33
						19	1	1	34
						20	11	1	35
						21	2	1	36
						22	7	1	37
						23	2	1	38
						24	6	1	39
						25	4	1	40
						26	11	1	41
						27	11	1	42
						28	11	1	43
						29	0	1	44
2	1	5	0	0	25	1	5	1	16
						2	0	1	17
						3	4	1	18
						4	0	1	19
						5	0	1	20
						6	5	1	21
						7	4	1	22
						8	5	1	23
						9	10	1	24
						10	3	1	25
						11	4	1	26
						12	9	1	27
						13	9	1	28
						14	2	1	29
						15	10	1	30
						16	9	1	31
						17	7	1	32
						18	8	1	33
						19	9	1	34
						20	1	1	35
						21	0	1	36
						22	8	1	37
						23	1	1	38
						24	5	1	39
						25	4	1	40
